,Ticker,Date,Div Amount
0,ZIM.AX,2019-09-11,0.61635
1,ZIM.AX,2019-02-19,0.261948
2,ZIM.AX,2018-09-06,0.827374
3,ZIM.AX,2015-09-07,0.16952
4,ZGL.AX,2017-03-16,0.0015
5,ZGL.AX,2016-11-29,0.002
6,ZGL.AX,2016-03-16,0.0025
7,ZGL.AX,2015-11-18,0.0035
8,ZGL.AX,2015-03-11,0.0035
9,ZEL.AX,2019-11-21,0.156106
10,ZEL.AX,2019-05-16,0.287981
11,ZEL.AX,2018-11-22,0.117306
12,ZEL.AX,2018-05-17,0.200685
13,ZEL.AX,2017-11-23,0.094213
14,ZEL.AX,2017-05-25,0.188453
15,ZEL.AX,2016-11-24,0.088839
16,ZEL.AX,2016-05-26,0.168933
17,ZEL.AX,2016-05-25,0.447
18,ZEL.AX,2015-11-19,0.154102
19,ZEL.AX,2015-11-18,0.078515
20,ZEL.AX,2015-05-20,0.154102
21,YOW.AX,2019-11-11,0.02
22,YAL.AX,2020-03-13,0.2121
23,YAL.AX,2019-09-05,0.1035
24,YAL.AX,2019-03-08,0.1596
25,YAL.AX,2018-09-06,0.002957
26,XRF.AX,2019-10-03,0.01
27,XRF.AX,2018-10-04,0.003
28,XRF.AX,2017-09-14,0.0024
29,XRF.AX,2016-09-15,0.003
30,XRF.AX,2016-02-17,0.002
31,XRF.AX,2015-09-09,0.007
32,XRF.AX,2015-02-18,0.005
33,XPL.AX,2017-08-11,0.002
34,XPL.AX,2017-05-12,0.002
35,XPL.AX,2017-02-10,0.002
36,XPL.AX,2016-11-11,0.002
37,XPL.AX,2016-08-12,0.002
38,XPL.AX,2016-05-13,0.002
39,XPL.AX,2016-02-11,0.002
40,XPL.AX,2015-11-12,0.002
41,XPL.AX,2015-08-12,0.002
42,XPL.AX,2015-05-13,0.002
43,XPL.AX,2015-02-11,0.002
44,WPP.AX,2020-03-30,0.015
45,WPP.AX,2019-09-25,0.023
46,WPP.AX,2019-03-28,0.04
47,WPP.AX,2018-09-25,0.023
48,WPP.AX,2018-03-28,0.042
49,WPP.AX,2017-09-25,0.021
50,WPP.AX,2017-03-23,0.039
51,WPP.AX,2016-09-05,0.021
52,WPP.AX,2016-03-23,0.036
53,WPP.AX,2015-08-31,0.021
54,WPP.AX,2015-04-01,0.035
55,WOR.AX,2020-02-27,0.25
56,WOR.AX,2019-08-27,0.15
57,WOR.AX,2019-02-26,0.125
58,WOR.AX,2018-08-28,0.15
59,WOR.AX,2018-02-27,0.1
60,WOR.AX,2015-08-31,0.22
61,WOR.AX,2015-03-02,0.34
62,WOW.AX,2020-03-04,0.46
63,WOW.AX,2019-09-03,0.57
64,WOW.AX,2019-02-28,0.45
65,WOW.AX,2018-09-13,0.5
66,WOW.AX,2018-03-01,0.43
67,WOW.AX,2017-09-07,0.5
68,WOW.AX,2017-03-02,0.34
69,WOW.AX,2016-09-08,0.33
70,WOW.AX,2016-03-02,0.44
71,WOW.AX,2015-09-09,0.72
72,WOW.AX,2015-03-18,0.67
